Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Revenue,Profit,Payment_Mode,Ship_Mode,Campaign_ID,Region,Currency,Target_Revenue,Target_Profit
O90022,2025-05-31,04/06/25,C7859,P0256,1,992.59,0.13,961.73,376.79,Debit Card,Express,CAMP003,South America,BRL,1093.38,411.26
O90023,2024-08-05,11/08/24,C6202,P0037,1,534.94,0.04,591.65,284.98,UPI,Standard,,East Asia,AED,591.65,284.98
O90024,2025-01-26,31/01/25,C5696,P0133,1,256.47,0.07,307.65,174.7,Credit Card,Standard,CAMP003,North America,USD,307.65,174.7
O90025,2025-12-08,10/12/25,C5394,P0049,1,1127.56,0.28,1545.73,715.31,Debit Card,Standard,,North America,USD,1396.51,609.46
O90026,2023-11-28,02/12/23,C7590,P0183,1,496.29,0.43,465.28,69.64,COD,Express,,South Asia,AED,495.92,77.59
O90027,2025-08-16,19/08/25,C7306,P0283,2,1135.62,0.22,2270.91,825.68,Credit Card,Standard,,North America,USD,2270.91,825.68
O90028,2025-01-10,14/01/25,C7800,P0270,2,649.24,0.15,1334.36,288.33,COD,Express,,North America,USD,1229.88,261.88
O90029,2025-06-18,24/06/25,C5242,P0160,3,1177.63,0.07,3926.11,1041.54,COD,Standard,,North America,USD,4178.68,1140.01
O90030,2024-03-15,25/03/24,C6409,P0135,4,1448.65,0.2,5211.23,677.51,Wallet,Standard,,East Asia,INR,4614.59,609.47
O90031,2025-04-05,14/04/25,C7627,P0174,2,1163.25,0.01,2742.23,724.59,Credit Card,Standard,,East Asia,AED,3118.01,817.04
O90032,2024-09-28,04/10/24,C6505,P0004,2,1676.39,0.18,3393.36,1448.3,Credit Card,Standard,,Western Europe,GBP,3591.53,1649.66
O90033,2025-09-30,09/10/25,C5226,P0283,1,1135.62,0.24,1200.16,462.42,Credit Card,Standard,,Western Europe,EUR,1076.76,427.45
O90034,2025-06-17,21/06/25,C5211,P0027,1,480.67,0.24,439.31,146.82,UPI,Same Day,,North America,USD,379.57,134.64
O90035,2025-12-03,05/12/25,C6258,P0287,2,719.88,0.31,1878.62,981.92,Wallet,Standard,CAMP008,West Asia,INR,1641.22,877.68
O90036,2023-08-21,31/08/23,C5199,P0071,1,263.04,0.08,249.57,95.6,Credit Card,Express,CAMP007,East Asia,CNY,262.47,101.83
O90037,2024-10-11,21/10/24,C6715,P0029,1,235.52,0.28,266.03,120.1,COD,Standard,,North America,USD,281.78,128.98
O90038,2025-11-30,10/12/25,C7883,P0015,1,1429.42,0.3,2011.56,1233.5,Credit Card,Standard,,South Asia,SGD,1729.95,1133.82
O90039,2025-05-09,12/05/25,C5155,P0220,3,400.14,0.15,1162.68,232.79,UPI,Express,,South Asia,AED,1162.68,232.79
O90040,2023-11-20,24/11/23,C6107,P0291,1,48.16,0.18,78.6,7.11,COD,Standard,CAMP005,Oceania,AUD,82.76,7.9
O90041,2025-02-08,12/02/25,C5838,P0323,1,469.87,0.15,459.23,64.06,Wallet,Express,,North America,USD,459.23,64.06
O90042,2025-05-09,10/05/25,C7887,P0015,1,457.91,0.09,491.08,242.68,Credit Card,Standard,CAMP006,South America,BRL,522.54,277.75
O90043,2025-11-10,14/11/25,C7736,P0049,3,1127.56,0.37,4281.41,1666.45,UPI,Express,,South Asia,CNY,4038.69,1454.06
O90044,2023-04-24,29/04/23,C5768,P0064,1,2122.09,0.04,1937.54,555.32,Credit Card,Express,,West Asia,INR,2153.46,584.64
O90045,2024-02-13,15/02/24,C6838,P0058,5,1624.75,0.15,6957.8,792.16,Debit Card,Standard,CAMP009,West Asia,INR,6562.45,714.76
O90046,2023-12-20,30/12/23,C6397,P0267,2,294.41,0.08,825.67,443.06,Credit Card,Standard,,North America,USD,870.52,480.39
O90047,2023-10-10,18/10/23,C6649,P0010,3,410.34,0.24,1325.8,495.99,UPI,Standard,,South Asia,AED,1325.8,495.99
O90048,2024-06-09,14/06/24,C7322,P0207,1,1354.69,0.05,1382.1,449.04,Credit Card,Express,CAMP003,North America,USD,1382.1,449.04
O90049,2024-05-27,28/05/24,C6989,P0144,2,806.12,0.03,1571.3,317.53,Credit Card,Standard,,North America,USD,1661.94,345.88
O90050,2025-03-14,16/03/25,C5285,P0220,2,400.14,0.55,452.41,-172.5,Wallet,Standard,,South Asia,INR,414.86,-154.73
O90051,2025-06-15,23/06/25,C6517,P0152,3,1489.31,0.14,4580.05,1810.28,Credit Card,Standard,CAMP003,East Asia,SGD,4068.79,1560.31
O90052,2025-02-04,07/02/25,C7855,P0019,1,220.51,0.13,214.9,-6.59,Bank Transfer,Express,,Oceania,AUD,187.93,-5.67
O90053,2024-10-15,17/10/24,C6148,P0126,2,1033.8,0.13,2812.69,1703.29,COD,Standard,CAMP006,Western Europe,EUR,2617.91,1470.83
O90054,2023-11-19,20/11/23,C7729,P0239,1,990.21,0.35,1025.37,442.24,Wallet,Standard,,Western Europe,GBP,932.61,391.06
O90055,2023-07-19,26/07/23,C6229,P0316,1,704.69,0.0,756.82,367.9,Credit Card,Standard,,West Asia,INR,660.4,336.24
O90056,2025-08-01,06/08/25,C7212,P0318,1,1271.68,0.09,1494.92,469.51,Credit Card,Standard,,North America,CAD,1637.98,511.77
O90057,2023-07-21,25/07/23,C6614,P0097,4,1452.47,0.03,5933.14,1098.87,Debit Card,Express,CAMP008,South America,BRL,6581.54,1207.8
O90058,2023-09-16,19/09/23,C6491,P0031,1,1356.73,0.04,1446.16,812.47,COD,Standard,CAMP005,North America,USD,1562.36,898.52
O90059,2024-07-30,05/08/24,C7216,P0095,1,1993.16,0.02,2288.97,780.82,Credit Card,Express,,East Asia,INR,2556.66,821.95
O90060,2025-12-12,18/12/25,C6110,P0201,1,1134.12,0.36,1351.56,517.05,Debit Card,Standard,,East Asia,CNY,1351.56,517.05
O90061,2025-06-06,10/06/25,C5055,P0289,2,480.5,0.15,995.0,476.17,Credit Card,Express,,Northern Europe,GBP,1091.1,502.73
O90062,2025-11-09,17/11/25,C5466,P0204,2,1378.09,0.43,3140.46,1481.29,Credit Card,Standard,CAMP001,East Asia,INR,2727.93,1342.12
O90063,2024-10-18,20/10/24,C7151,P0001,2,1366.51,0.16,3610.32,2310.55,Credit Card,Standard,,Northern Europe,GBP,3610.32,2310.55
O90064,2025-03-05,10/03/25,C5239,P0037,1,1546.87,0.14,1682.91,902.41,Credit Card,Standard,,West Asia,INR,1912.83,1027.2
O90065,2023-08-03,11/08/23,C5781,P0256,3,992.59,0.2,2430.28,734.99,UPI,Same Day,,Western Europe,EUR,2430.28,734.99
O90066,2025-04-24,01/05/25,C5811,P0099,2,20.77,0.05,56.34,-3.8,Bank Transfer,Standard,,North America,CAD,59.55,-4.15
O90067,2024-12-10,19/12/24,C6298,P0097,1,2101.82,0.36,2265.16,1261.94,UPI,Standard,,North America,USD,2057.45,1091.21
O90068,2025-11-03,04/11/25,C7454,P0229,1,763.44,0.51,772.76,170.2,Credit Card,Standard,CAMP003,South America,BRL,870.55,191.38
O90069,2025-10-28,02/11/25,C6702,P0079,1,565.88,0.24,764.7,493.18,COD,Express,,South Asia,INR,719.07,419.62
O90070,2024-04-04,07/04/24,C5345,P0055,1,1682.68,0.17,1503.31,615.17,Credit Card,Standard,CAMP008,South Asia,AED,1310.39,573.78
O90071,2025-06-27,06/07/25,C5343,P0084,1,2132.53,0.13,2221.7,883.23,COD,Standard,,North America,USD,2481.77,1006.39
O90072,2023-12-01,10/12/23,C6307,P0158,1,1327.52,0.3,1403.88,302.3,COD,Standard,,South Asia,AED,1482.1,335.46
O90073,2025-08-25,01/09/25,C6388,P0049,1,174.02,0.06,228.06,121.55,Credit Card,Standard,,West Asia,CNY,206.83,103.75
O90074,2025-05-10,19/05/25,C6382,P0103,1,818.9,0.23,705.16,224.01,Credit Card,Standard,,East Asia,CNY,635.6,204.06
O90075,2025-02-28,02/03/25,C5364,P0171,1,760.63,0.25,652.39,130.7,Wallet,Express,,North America,CAD,567.01,114.67
O90076,2024-10-16,25/10/24,C5900,P0082,3,54.95,0.1,253.93,164.79,Wallet,Standard,,Oceania,AUD,232.1,147.79
O90077,2025-08-01,11/08/25,C6917,P0188,1,2084.88,0.12,2339.48,645.05,Wallet,Standard,CAMP004,North America,CAD,2657.18,699.39
O90078,2025-03-25,26/03/25,C5846,P0202,1,1431.28,0.1,1611.12,755.39,Credit Card,Standard,,South Asia,INR,1611.12,755.39
O90079,2025-12-19,23/12/25,C7102,P0071,5,263.04,0.28,1783.1,813.81,Debit Card,Standard,,South Asia,INR,1919.8,934.65
O90080,2025-03-28,07/04/25,C5891,P0151,1,1118.28,0.22,1106.68,573.25,Credit Card,Express,,South Asia,CNY,1041.51,488.92
O90081,2024-06-16,26/06/24,C6653,P0323,2,1763.16,0.05,3566.92,888.13,Credit Card,Express,CAMP009,South Asia,INR,3306.79,764.71
O90082,2025-06-14,19/06/25,C6047,P0260,1,1230.73,0.03,1441.98,682.72,Debit Card,Standard,CAMP006,Western Europe,GBP,1518.04,735.54
O90083,2025-11-01,05/11/25,C6094,P0052,1,847.96,0.33,1141.27,563.4,Credit Card,Express,,Northern Europe,GBP,1229.07,637.73
O90084,2024-09-26,01/10/24,C7498,P0055,1,1682.68,0.02,2048.64,1136.06,UPI,Standard,,North America,CAD,2296.66,1304.38
O90085,2023-06-13,21/06/23,C5957,P0031,2,1308.96,0.14,2133.93,681.22,Debit Card,Same Day,CAMP010,South Asia,AED,2392.46,743.77
O90086,2025-09-13,17/09/25,C5837,P0114,1,127.57,0.16,158.92,61.64,UPI,Standard,CAMP004,West Asia,AED,146.19,58.55
O90087,2024-11-01,02/11/24,C6434,P0182,2,1423.04,0.33,3416.25,1092.31,UPI,Standard,CAMP004,Oceania,AUD,3146.41,1011.66
O90088,2025-05-19,25/05/25,C5376,P0092,1,1255.85,0.01,1402.05,594.24,Debit Card,Standard,,Western Europe,GBP,1323.31,511.86
O90089,2024-03-26,29/03/24,C6726,P0247,2,286.78,0.15,544.73,107.24,UPI,Standard,,North America,USD,544.73,107.24
O90090,2025-03-17,22/03/25,C7988,P0256,1,992.59,0.31,856.57,319.69,Credit Card,Standard,,East Asia,INR,959.77,362.87
O90091,2025-05-21,28/05/25,C7860,P0149,1,778.78,0.07,819.17,404.25,Credit Card,Express,CAMP010,North America,USD,774.47,352.14
O90092,2024-06-27,02/07/24,C7082,P0115,1,454.57,0.11,440.45,243.45,Credit Card,Standard,,West Asia,AED,396.58,223.5
O90093,2023-05-11,14/05/23,C5697,P0047,1,545.87,0.03,493.96,70.84,Credit Card,Standard,CAMP005,South Asia,INR,432.09,64.47
O90094,2024-09-21,24/09/24,C7246,P0002,2,1412.67,0.08,3215.98,1151.81,Credit Card,Standard,,East Asia,SGD,2816.42,1017.45
O90095,2024-10-20,23/10/24,C6795,P0204,1,1378.09,0.39,1321.76,471.15,Bank Transfer,Standard,,West Asia,INR,1321.76,471.15
O90096,2025-08-27,06/09/25,C5858,P0192,1,473.21,0.06,575.94,276.92,Debit Card,Standard,,South America,BRL,575.94,276.92
O90097,2025-12-26,31/12/25,C5764,P0173,1,1063.49,0.25,1513.03,932.77,Bank Transfer,Standard,,East Asia,CNY,1513.03,932.77
O90098,2025-09-23,01/10/25,C5429,P0173,1,1063.49,0.16,1225.46,670.93,Debit Card,Standard,,North America,USD,1340.84,739.98
O90099,2025-06-26,05/07/25,C6481,P0080,4,1455.73,0.22,5389.39,1517.39,Credit Card,Standard,,West Asia,AED,5901.04,1668.1
O90100,2025-07-12,19/07/25,C7284,P0278,1,1002.87,0.13,1136.81,659.78,UPI,Standard,,East Asia,SGD,1227.59,703.26
O90101,2024-07-26,03/08/24,C5322,P0269,1,1048.3,0.04,1178.89,530.44,Debit Card,Express,CAMP007,West Asia,INR,1007.64,461.27
O90102,2025-12-16,21/12/25,C7812,P0140,1,624.59,0.33,801.4,461.47,UPI,Standard,,South Asia,INR,888.11,520.82
O90103,2023-05-16,25/05/23,C6458,P0047,1,545.87,0.22,389.82,-44.65,Wallet,Standard,CAMP007,East Asia,INR,389.82,-44.65
O90104,2025-12-07,16/12/25,C6808,P0002,1,1412.67,0.27,1957.85,925.87,Credit Card,Standard,,South Asia,INR,1697.31,797.04
O90105,2024-07-18,20/07/24,C5868,P0256,3,1437.61,0.06,4779.78,1194.6,Debit Card,Standard,CAMP010,East Asia,INR,5376.91,1290.78
O90106,2025-01-05,10/01/25,C5683,P0246,1,631.99,0.02,748.93,315.75,Wallet,Standard,CAMP007,South America,BRL,748.93,315.75
O90107,2025-01-23,29/01/25,C5060,P0326,1,800.62,0.09,874.5,287.13,UPI,Standard,,Northern Europe,GBP,826.53,264.57
O90108,2025-12-05,08/12/25,C6259,P0331,1,845.97,0.19,1309.41,850.28,Wallet,Standard,,North America,USD,1417.67,917.41
O90109,2024-06-22,27/06/24,C7704,P0300,2,446.55,0.25,732.08,309.49,Credit Card,Standard,,West Asia,INR,807.02,327.41
O90110,2025-12-23,31/12/25,C6913,P0107,1,139.99,0.38,172.22,51.44,Credit Card,Standard,CAMP005,South Asia,SGD,182.86,54.92
O90111,2023-12-19,22/12/23,C6699,P0199,1,896.87,0.19,1110.54,559.29,Debit Card,Standard,CAMP009,Oceania,AUD,1252.1,615.99
O90112,2025-02-27,08/03/25,C7458,P0249,1,1289.06,0.23,1137.77,10.44,Debit Card,Standard,,South Asia,INR,968.31,9.58
O90113,2024-12-30,04/01/25,C5230,P0046,1,1306.31,0.33,1460.78,544.29,Debit Card,Standard,,Western Europe,GBP,1303.55,490.45
O90114,2025-11-06,14/11/25,C5799,P0219,4,302.83,0.2,1945.98,1139.3,Wallet,Express,,West Asia,INR,1695.75,1031.27
O90115,2025-04-19,23/04/25,C7779,P0113,1,450.81,0.05,526.22,220.7,Bank Transfer,Standard,,East Asia,SGD,498.81,189.22
O90116,2025-11-05,06/11/25,C7975,P0268,2,1532.64,0.21,4862.33,3037.18,Bank Transfer,Standard,,North America,USD,4271.03,2655.41
O90117,2024-10-15,19/10/24,C7946,P0238,2,989.17,0.03,3002.14,1763.94,Credit Card,Standard,,East Asia,INR,3226.86,1918.94
O90118,2023-10-04,08/10/23,C7522,P0047,1,545.87,0.38,464.34,28.67,Debit Card,Standard,,North America,USD,432.68,26.99
O90119,2023-12-05,14/12/23,C5646,P0126,1,697.19,0.28,761.45,247.98,COD,Standard,,East Asia,AED,761.45,247.98
O90120,2025-01-18,20/01/25,C7454,P0319,2,61.01,0.17,125.28,22.51,COD,Standard,CAMP002,South America,BRL,109.02,20.36
O90121,2025-03-13,22/03/25,C5996,P0327,2,892.93,0.03,2167.9,1010.84,Wallet,Standard,CAMP008,South America,BRL,1980.79,911.96
O90122,2023-03-29,31/03/23,C7980,P0214,1,199.58,0.24,154.58,-2.98,Debit Card,Standard,,South America,BRL,169.02,-3.19
O90123,2025-12-13,15/12/25,C5847,P0282,5,2175.75,0.15,17341.49,11199.46,UPI,Express,CAMP010,West Asia,INR,19055.21,12208.77
O90124,2023-12-10,19/12/23,C5220,P0093,2,585.75,0.2,1416.91,604.32,Debit Card,Express,CAMP008,South America,BRL,1600.48,680.68
O90125,2025-10-13,21/10/25,C7008,P0136,1,638.59,0.29,795.58,391.54,Credit Card,Standard,,West Asia,CNY,795.58,391.54
O90126,2023-11-13,15/11/23,C7221,P0221,1,781.99,0.25,929.02,465.65,Credit Card,Standard,,East Asia,AED,802.12,399.92
O90127,2024-10-03,12/10/24,C5853,P0189,1,1031.8,0.35,1047.83,358.78,COD,Express,,North America,CAD,985.81,324.18
O90128,2024-05-25,02/06/24,C6701,P0151,1,971.83,0.01,965.44,140.79,Credit Card,Standard,,South America,BRL,1096.53,148.65
O90129,2024-09-14,23/09/24,C6499,P0005,1,467.82,0.23,435.85,131.03,Credit Card,Standard,,East Asia,INR,435.85,131.03
O90130,2025-12-15,16/12/25,C6343,P0153,2,127.65,0.36,302.86,135.41,Credit Card,Express,,Northern Europe,EUR,302.86,135.41
O90131,2023-07-08,16/07/23,C5192,P0279,1,249.91,0.14,226.65,72.31,Wallet,Same Day,CAMP003,North America,USD,249.92,79.83
O90132,2023-09-10,20/09/23,C5640,P0114,2,357.81,0.13,703.22,150.94,Debit Card,Standard,,South Asia,INR,798.91,159.96
O90133,2025-10-01,10/10/25,C6874,P0195,1,1731.9,0.14,2622.15,1365.83,Bank Transfer,Standard,,East Asia,CNY,2816.31,1489.65
O90134,2025-08-24,02/09/25,C6499,P0206,1,434.63,0.02,534.66,276.79,Debit Card,Standard,,South Asia,INR,500.75,261.26
O90135,2024-11-26,29/11/24,C7096,P0029,1,235.52,0.32,307.83,108.22,Credit Card,Express,,Oceania,AUD,353.78,124.01
O90136,2025-12-18,27/12/25,C6444,P0285,2,843.16,0.3,2212.09,1331.79,Debit Card,Same Day,,Oceania,AUD,2212.09,1331.79
O90137,2024-07-05,06/07/24,C6728,P0270,1,649.24,0.06,721.91,159.64,Credit Card,Express,,East Asia,INR,614.05,136.46
O90138,2025-06-07,08/06/25,C7608,P0079,5,565.88,0.1,3019.5,1640.8,Debit Card,Standard,,North America,CAD,3019.5,1640.8
O90139,2025-07-22,24/07/25,C7785,P0137,1,44.25,0.03,67.34,51.64,Bank Transfer,Standard,,West Asia,INR,58.23,45.7
O90140,2025-11-23,26/11/25,C7126,P0309,1,547.56,0.4,648.97,214.44,Debit Card,Standard,,North America,USD,605.48,201.42
O90141,2025-11-08,11/11/25,C5895,P0122,1,92.66,0.31,149.13,92.63,Credit Card,Express,,North America,USD,159.37,103.0
O90142,2025-02-17,19/02/25,C5410,P0245,2,1100.9,0.22,1954.24,369.24,COD,Express,,East Asia,INR,1954.24,369.24
O90143,2025-12-09,17/12/25,C6578,P0084,2,2132.53,0.34,5301.47,2577.63,Wallet,Standard,,West Asia,INR,6052.88,2826.04
O90144,2023-06-30,01/07/23,C5479,P0245,2,1100.9,0.09,1916.78,376.32,Debit Card,Same Day,CAMP005,West Asia,AED,2032.47,412.36
O90145,2024-03-13,14/03/24,C5897,P0062,1,1239.47,0.08,1276.86,392.39,Debit Card,Standard,CAMP008,Oceania,AUD,1388.69,434.68
O90146,2025-07-18,28/07/25,C6410,P0103,1,818.9,0.02,1077.97,568.23,Credit Card,Standard,,East Asia,AED,963.56,483.98
O90147,2025-07-18,26/07/25,C6352,P0021,1,875.45,0.06,1072.56,447.72,UPI,Standard,,East Asia,INR,1072.56,447.72
O90148,2025-02-22,26/02/25,C5029,P0055,2,700.28,0.24,1202.86,290.24,Debit Card,Standard,CAMP010,Oceania,AUD,1382.57,320.53
O90149,2023-11-12,13/11/23,C5938,P0081,1,1056.82,0.28,1241.99,651.19,Debit Card,Standard,,South Asia,INR,1362.91,745.91
O90150,2024-07-21,24/07/24,C7873,P0174,1,885.67,0.0,1066.04,295.08,Credit Card,Standard,,West Asia,SGD,922.75,256.4
O90151,2024-04-27,03/05/24,C5761,P0337,1,627.8,0.15,565.44,90.26,Wallet,Standard,,South Asia,INR,639.4,97.13
O90152,2025-04-21,28/04/25,C6738,P0083,2,2033.43,0.22,3790.5,1888.67,Credit Card,Standard,CAMP009,North America,USD,4282.97,2034.39
O90153,2025-10-27,04/11/25,C6345,P0292,1,2192.19,0.12,3389.72,2049.26,COD,Standard,,West Asia,INR,3389.72,2049.26
O90154,2024-11-10,14/11/24,C7356,P0338,1,1074.26,0.43,1093.16,285.01,Wallet,Standard,,North America,USD,932.81,256.99
O90155,2023-03-04,14/03/23,C7991,P0206,2,434.63,0.17,745.91,296.23,COD,Standard,,North America,USD,797.88,333.49
O90156,2025-08-17,27/08/25,C7546,P0278,1,1002.87,0.21,1024.66,501.17,Credit Card,Standard,CAMP007,Western Europe,GBP,936.66,472.28
O90157,2025-01-12,16/01/25,C6548,P0078,2,849.46,0.23,1570.5,288.22,Credit Card,Standard,,South America,BRL,1457.89,250.2
O90158,2025-06-26,05/07/25,C7827,P0133,2,502.86,0.22,945.72,242.27,Credit Card,Same Day,CAMP004,North America,USD,1068.68,269.93
O90159,2024-07-27,30/07/24,C7134,P0253,1,103.19,0.06,123.23,43.36,UPI,Express,,North America,USD,112.99,40.46
O90160,2025-08-19,27/08/25,C6864,P0265,4,1335.99,0.07,6344.58,3873.93,Credit Card,Standard,CAMP004,North America,USD,6344.58,3873.93
O90161,2025-03-29,03/04/25,C5448,P0170,1,1493.23,0.13,1619.33,710.24,Bank Transfer,Standard,,South America,BRL,1469.35,636.8
O90162,2025-06-27,01/07/25,C5412,P0264,2,1355.56,0.23,2502.46,1257.03,UPI,Standard,CAMP003,West Asia,INR,2286.41,1105.93
O90163,2023-03-23,31/03/23,C7898,P0316,2,704.69,0.01,1392.96,619.02,COD,Standard,CAMP008,Western Europe,GBP,1392.96,619.02
O90164,2024-04-14,19/04/24,C6117,P0203,1,239.97,0.18,211.12,-0.61,Credit Card,Same Day,,North America,USD,225.53,-0.68
O90165,2023-07-17,27/07/23,C5126,P0234,2,1058.23,0.18,1826.2,487.35,Credit Card,Standard,,Western Europe,EUR,1594.98,418.14
O90166,2025-04-27,07/05/25,C6317,P0160,1,784.34,0.25,691.15,115.2,COD,Standard,,West Asia,INR,725.75,127.97
O90167,2024-03-15,22/03/24,C7731,P0124,1,1744.24,0.24,1484.35,231.67,UPI,Express,,South Asia,CNY,1612.32,260.68
O90168,2025-11-21,28/11/25,C7778,P0317,1,290.22,0.11,521.22,370.91,Wallet,Express,,East Asia,INR,566.84,407.48
O90169,2024-04-03,08/04/24,C5345,P0021,2,1418.13,0.1,2708.11,300.68,Credit Card,Same Day,CAMP006,East Asia,AED,2412.14,275.14
O90170,2025-12-18,21/12/25,C6397,P0081,2,86.48,0.32,223.71,135.16,Debit Card,Standard,,North America,USD,198.12,127.91
O90171,2025-09-09,18/09/25,C5193,P0095,2,1437.9,0.02,3897.32,2347.94,Credit Card,Standard,,South America,BRL,4457.03,2664.45
O90172,2025-05-18,28/05/25,C7283,P0064,4,798.18,0.21,2862.05,824.62,UPI,Standard,,North America,CAD,2862.05,824.62
O90173,2025-04-18,27/04/25,C6438,P0235,1,422.11,0.18,414.34,140.97,Credit Card,Standard,CAMP010,Northern Europe,GBP,473.19,154.35
O90174,2025-11-26,27/11/25,C6406,P0199,1,83.65,0.29,117.91,50.32,Credit Card,Standard,,East Asia,SGD,106.55,46.51
O90175,2025-09-20,30/09/25,C5464,P0288,1,1175.04,0.13,1411.98,732.63,Debit Card,Express,CAMP006,North America,CAD,1580.87,834.52
O90176,2024-09-25,29/09/24,C7537,P0280,1,1305.05,0.18,1340.48,213.2,Credit Card,Standard,,North America,USD,1235.43,202.49
O90177,2024-11-29,04/12/24,C7023,P0246,1,631.99,0.31,773.66,334.32,Credit Card,Standard,CAMP010,South Asia,INR,773.66,334.32
O90178,2025-01-23,29/01/25,C6349,P0010,1,410.34,0.23,375.92,52.14,Debit Card,Standard,CAMP010,East Asia,INR,332.63,48.66
O90179,2025-02-25,28/02/25,C5951,P0114,1,127.57,0.1,135.02,79.81,Wallet,Standard,,South Asia,INR,151.19,89.32
O90180,2024-05-09,13/05/24,C5492,P0133,1,502.86,0.1,468.96,131.31,Debit Card,Standard,,East Asia,INR,507.69,148.19
O90181,2025-10-16,17/10/25,C6828,P0171,1,760.63,0.26,978.67,512.2,UPI,Standard,,Oceania,AUD,1115.72,549.0
O90182,2024-12-20,29/12/24,C7560,P0303,1,951.67,0.22,1252.7,641.77,Credit Card,Standard,CAMP009,West Asia,INR,1143.15,570.67
O90183,2024-05-24,01/06/24,C6896,P0338,1,42.89,0.22,53.26,27.86,Debit Card,Standard,CAMP003,South Asia,SGD,50.54,25.02
O90184,2025-10-04,12/10/25,C7330,P0151,4,612.92,0.4,2569.43,879.96,UPI,Standard,,East Asia,AED,2756.57,957.56
O90185,2024-09-30,03/10/24,C7851,P0133,1,358.52,0.38,285.87,53.59,COD,Standard,,East Asia,INR,261.68,45.96
O90186,2024-07-12,14/07/24,C6127,P0264,1,1355.56,0.13,1400.79,804.01,Credit Card,Standard,CAMP004,South Asia,CNY,1275.22,758.28
O90187,2023-11-03,05/11/23,C5151,P0135,3,858.0,0.08,3805.64,2049.45,Credit Card,Standard,,South Asia,CNY,3558.41,1755.9
O90188,2024-02-19,22/02/24,C7627,P0124,1,1744.24,0.16,1492.11,239.3,UPI,Standard,CAMP003,South Asia,AED,1492.11,239.3
